,Unnamed: 0,trans_num,trans_date,cc_num,merchant,type_purcharse,amount,gender,city,state,city_pop,job,merch_lat,merch_long,fraud,trans_year,trans_month,age,age_groups,name,cat_amount,unique_person,time
419387,419387,ca5fdd5b90da3563f5f8ead87f3f41b7,2019-07-07,342360239917375,"Reichert, Huels and Hoppe",shopping_net,936.47,F,Howes Cave,NY,1304,"arts, design, and entertainment",41.723181,-74.85828199999999,1,2019,july,50,Adult,Gabriella_Jordan,1,Gabriella_Jordan / 50,2019-07
45318,45318,1294d7a5dea211f63a6488b4957f127e,2019-01-27,676234256292,Donnelly PLC,misc_net,1043.38,M,Parker Dam,CA,126,"marketing, advertising, and sales",34.351802,-114.176826,1,2019,january,28,Adult,David_Vasquez,1,David_Vasquez / 28,2019-01
50250,50250,4cae235350bb0d437d10263047df4499,2019-01-30,38817501916673,"Heller, Gutmann and Zieme",grocery_pos,270.28,F,Crouse,NC,2749,government and public sector,35.014237,-80.52194399999999,1,2019,january,23,Adult,Molly_Marshall,1,Molly_Marshall / 23,2019-01
478965,478965,36e66f084035c8776b0c30eb88b3687b,2019-07-29,4254074738931278,"Streich, Hansen and Veum",gas_transport,24.03,M,Allentown,NY,239,media and journalism,42.049983000000005,-77.83993199999999,1,2019,july,64,Elder,Gary_Hall,1,Gary_Hall / 64,2019-07
236522,236522,567ed9b2d7d10ad519cdd697cd338f70,2019-04-28,6011826317034777,Waters-Cruickshank,health_fitness,20.58,F,Georgetown,DE,18799,"arts, design, and entertainment",39.003922,-75.852152,1,2019,april,20,Adult,Christine_Johnson,1,Christine_Johnson / 20,2019-04
683298,683298,40229d31414a0d3a9674f9e1c9763122,2019-10-18,502049568400,Schmidt and Sons,shopping_net,1123.9,M,Marion,CT,370,health and medicine,41.49842,-73.197564,1,2019,october,58,Adult,Daniel_Melton,1,Daniel_Melton / 58,2019-10
81476,81476,7ee46a4bba0fb95b5cca6c515e65b6f7,2019-02-17,180047222886866,Goyette-Herzog,travel,11.04,F,Loami,IL,1213,education and academia,39.547967,-88.96968000000001,1,2019,february,29,Adult,Christine_Shaffer,1,Christine_Shaffer / 29,2019-02
195568,195568,3285a883ce57a12ca9ac347e38a520e8,2019-04-11,4393520897625,Cartwright-Harris,grocery_pos,297.86,M,Easton,KS,1442,logistics and transportation,38.727216,-95.106374,1,2019,april,38,Adult,Charles_Rodriguez,1,Charles_Rodriguez / 38,2019-04
133912,133912,380d20176a5c7394b925410bd8cd3f08,2019-03-14,4911818930706644725,Hamill-Daugherty,misc_net,833.02,M,Mesa,AZ,478404,construction and infrastructure,33.641108,-111.547395,1,2019,march,80,Elder,Jeremy_Chavez,1,Jeremy_Chavez / 80,2019-03
494602,494602,63f28c511cd10938f2ceb76f55c258b3,2019-08-03,4477156602511939689,Baumbach Ltd,personal_care,25.01,F,American Fork,UT,42384,finance and economics,39.575024,-111.874632,1,2019,august,28,Adult,Angela_Ross,1,Angela_Ross / 28,2019-08
235359,235359,412d63dd900e345c651e519d4cce3bb3,2019-04-28,675990301623,"Hermiston, Pacocha and Smith",health_fitness,3.9,F,Ogdensburg,NJ,2456,finance and economics,40.266988,-74.46979499999999,0,2019,april,26,Adult,Amanda_Spencer,1,Amanda_Spencer / 26,2019-04
720781,720781,4bb76178812f2e612088b532c453076c,2019-11-03,3526826139003047,"Schaefer, Fay and Hilll",entertainment,118.94,M,Falmouth,MI,1126,"arts, design, and entertainment",44.884432,-84.88165699999999,0,2019,november,65,Elder,Nathan_Massey,1,Nathan_Massey / 65,2019-11
709119,709119,6d8480d3714825de8a12520b5fc7fb33,2019-10-29,213113028819344,Prosacco LLC,personal_care,31.73,F,Camden,NY,6460,construction and infrastructure,43.486865,-76.329447,0,2019,october,61,Elder,Melanie_Jimenez,1,Melanie_Jimenez / 61,2019-10
35072,35072,928ba0422173a6857955ea6d4323bf78,2019-01-21,30131826429364,Pouros-Conroy,shopping_pos,621.69,F,Knoxville,TN,391389,"arts, design, and entertainment",35.156591,-85.007051,0,2019,january,26,Adult,Brianna_Foley,1,Brianna_Foley / 26,2019-01
1092805,1092805,701c4223e3b0c89326db674cd74a6eaf,2020-03-30,4671727014157745,"Roberts, Daniel and Macejkovic",kids_pets,96.77,M,Andrews,IN,2304,retail and commerce,41.209996,-85.575479,0,2020,march,65,Elder,Kenneth_Edwards,1,Kenneth_Edwards / 65,2020-03
752426,752426,c104d591ab1bdb883e78519e400d3beb,2019-11-17,630469040731,"O'Reilly, Mohr and Purdy",home,4.09,F,Cascade Locks,OR,1288,legal and law,46.11649,-121.087717,0,2019,november,84,Elder,Meredith_Ayala,1,Meredith_Ayala / 84,2019-11
533320,533320,9e72fb8da0e4ece316b21bfcf6f6b938,2019-08-17,180017442990269,"Haley, Batz and Auer",health_fitness,18.3,F,Albany,NY,151022,"arts, design, and entertainment",43.030918,-73.666202,0,2019,august,81,Elder,Michelle_Anderson,1,Michelle_Anderson / 81,2019-08
123783,123783,01872c9338bedaecfa7cba0415adb032,2019-03-10,6011393492413821,"Turcotte, McKenzie and Koss",entertainment,1.23,F,Los Angeles,CA,2383912,media and journalism,34.712434,-117.417375,0,2019,march,61,Elder,Natalie_Watson,1,Natalie_Watson / 61,2019-03
230771,230771,8ca0f866a210d7f7bd547dff6d40e389,2019-04-26,3518758680062249,Dooley Inc,shopping_pos,9.22,M,Moab,UT,9772,"arts, design, and entertainment",39.217228000000006,-109.781109,0,2019,april,31,Adult,Antonio_Koch,1,Antonio_Koch / 31,2019-04
497456,497456,41c0dfb4013658445eefcf7f30047a1c,2019-08-04,30143713661454,Swift PLC,kids_pets,29.39,M,Halma,MN,140,health and medicine,48.821201,-97.405835,0,2019,august,78,Elder,Nicholas_Thornton,1,Nicholas_Thornton / 78,2019-08
481289,481289,4cc37e179a72def9d168f81a5ec1fee0,2019-07-29,3575789281659026,"Becker, Harris and Harvey",personal_care,3.89,F,Centerview,MO,2368,engineering and technology,38.235699,-92.997884,0,2019,july,31,Adult,Lindsay_Wilson,1,Lindsay_Wilson / 31,2019-07
1255736,1255736,698e46954a67ec233c4bdfa4886f9be0,2020-06-07,3560797065840735,Hudson-Ratke,grocery_pos,96.38,F,Shields,ND,77,"arts, design, and entertainment",46.378431,-101.735246,0,2020,june,31,Adult,Janet_Turner,1,Janet_Turner / 31,2020-06
452205,452205,8cd3076b82ecfb3c0e22f84efb5ea833,2019-07-20,4191109180926792,"Osinski, Ledner and Leuschke",grocery_pos,182.98,F,Amanda,OH,4512,environmental science and conservation,40.075266,-83.709365,0,2019,july,28,Adult,Jennifer_Spencer,1,Jennifer_Spencer / 28,2019-07
1042894,1042894,103f6abbe2f5bfd43911b60ba4f2eafe,2020-03-08,3577794103155425,Gislason Group,misc_pos,1.56,F,Reynolds,ND,733,"marketing, advertising, and sales",46.795913,-98.190504,0,2020,march,26,Adult,Mary_Humphrey,1,Mary_Humphrey / 26,2020-03
588771,588771,e679e18fde5dc5c9fe94ec28919db78b,2019-09-07,180048185037117,"Yost, Block and Koepp",misc_pos,6.58,F,Plainfield,NJ,71485,tourism and hospitality,40.906508,-74.94968399999999,0,2019,september,46,Adult,Mary_Wall,1,Mary_Wall / 46,2019-09
629611,629611,c6a001eea978a1c62809c983a884ff8a,2019-09-24,3511058278399773,Carroll PLC,health_fitness,72.81,F,New Goshen,IN,205,engineering and technology,38.704097,-87.8265,0,2019,september,60,Elder,Briana_Santos,1,Briana_Santos / 60,2019-09
877778,877778,6bfa04a869987971c23d481a4df862e7,2019-12-21,6011109736646996,"Windler, Goodwin and Kovacek",home,33.41,F,Wilmington,NC,186140,education and academia,33.676621000000004,-78.45731500000001,0,2019,december,37,Adult,Rebecca_Erickson,1,Rebecca_Erickson / 37,2019-12
865404,865404,5e2c75d9260d10aaf25f9c1b990bd726,2019-12-18,4587657402165341815,Smith-Stokes,misc_pos,242.7,F,Pembroke Township,IL,2135,psychology and social work,41.868623,-88.220576,0,2019,december,16,Minor,Amber_Lewis,1,Amber_Lewis / 16,2019-12
513596,513596,dbcfc698ceac6bb0f48ddb0056e6cf58,2019-08-10,3504178999463051,"Moore, Williamson and Emmerich",home,56.16,M,Lima,OH,86954,"marketing, advertising, and sales",40.688811,-83.57189,0,2019,august,28,Adult,Drew_Garcia,1,Drew_Garcia / 28,2019-08
1172874,1172874,a79d3ba727cc007197f29ff9cb908a10,2020-05-04,3531606252458308,Champlin-Casper,home,136.0,M,Stoneham,MA,21437,"arts, design, and entertainment",42.157276,-70.17710699999999,0,2020,may,56,Adult,Juan_Taylor,1,Juan_Taylor / 56,2020-05
1051983,1051983,05380ce095246141658971dd7bfe9934,2020-03-12,3560697798177746,Simonis-Prohaska,misc_pos,1.21,M,Indian Wells,CA,4677,education and academia,33.9914,-116.113878,0,2020,march,65,Elder,Matthew_Young,1,Matthew_Young / 65,2020-03
176035,176035,964f5911b8e15bbac616f78b7a9d1d97,2019-04-01,4048508450704760,Botsford and Sons,home,119.5,F,Fullerton,NE,1749,surveying and planning,40.603853,-97.205961,0,2019,april,47,Adult,Cheryl_Melton,1,Cheryl_Melton / 47,2019-04
1011217,1011217,8d933ca4217b8e12ffb78c559defe56c,2020-02-20,676195318214,Welch Inc,misc_net,2.59,F,Altair,TX,106,media and journalism,29.256633,-97.469684,0,2020,february,37,Adult,Brandy_Quinn,1,Brandy_Quinn / 37,2020-02
885125,885125,18a42c8d59fb0a7b4d567fae525bf23d,2019-12-23,6011626928491360,Kiehn Inc,grocery_pos,89.87,F,Bethel Springs,TN,3876,finance and economics,34.80783,-89.286578,0,2019,december,60,Elder,Heather_Roberts,1,Heather_Roberts / 60,2019-12
728227,728227,318fba136e931420859505015de7859c,2019-11-07,4873783502705038,Larkin Ltd,kids_pets,108.55,F,Burlington,WA,14871,tourism and hospitality,49.376295,-123.325547,0,2019,november,46,Adult,Elizabeth_Maxwell,1,Elizabeth_Maxwell / 46,2019-11
229562,229562,dd87cd377a73b7894e37c00bb42bff33,2019-04-26,3566094707272327,Murray-Smitham,grocery_pos,177.87,F,Newhall,CA,34882,health and medicine,34.911403,-119.193642,0,2019,april,49,Adult,Kristina_Stewart,1,Kristina_Stewart / 49,2019-04
1057311,1057311,1539992f2447163b27f2a6cf71922583,2020-03-15,3560725013359375,Auer-West,shopping_net,152.73,F,Notrees,TX,23,health and medicine,32.273175,-103.425787,0,2020,march,51,Adult,Brooke_Smith,1,Brooke_Smith / 51,2020-03
457552,457552,4202aa39f2d695251547c2246bf68400,2019-07-21,6011104316292105,Stark-Koss,home,21.27,F,Drakes Branch,VA,1970,engineering and technology,36.995853,-79.472877,0,2019,july,35,Adult,Valerie_Davis,1,Valerie_Davis / 35,2019-07
929581,929581,db742c6789da7225883a3056116cd6b8,2020-01-04,581293083266,Strosin-Cruickshank,grocery_pos,118.49,M,Lahoma,OK,1078,health and medicine,36.052934,-97.81829,0,2020,january,31,Adult,William_Thomas,1,William_Thomas / 31,2020-01
113048,113048,bfbf34492105674fd6fd44ba36e0b9db,2019-03-04,3518669219150142,Lesch Ltd,shopping_pos,6.26,F,Milford,OH,31394,health and medicine,40.009132,-83.851557,0,2019,march,24,Adult,Dorothy_Thomas,1,Dorothy_Thomas / 24,2019-03
824018,824018,1ea6a0e0c35f1580a848360ae813982e,2019-12-09,4099707841315751,Torp-Labadie,gas_transport,46.56,M,Ruckersville,VA,9815,"arts, design, and entertainment",38.309923,-78.95649499999999,0,2019,december,45,Adult,James_Stephens,1,James_Stephens / 45,2019-12
1128408,1128408,44f60126e29f458f4a0aa09a1a458374,2020-04-14,4998109455173950,Jakubowski Inc,home,102.58,F,Kansas City,MO,545147,psychology and social work,39.509231,-94.014011,0,2020,april,33,Adult,Mary_Pruitt,1,Mary_Pruitt / 33,2020-04
1242510,1242510,eba36efe23a1239ce66587070c9f6143,2020-06-01,6573561108825071,Waelchi-Wolf,kids_pets,46.73,F,Tulsa,OK,413574,retail and commerce,35.880157000000004,-95.868643,0,2020,june,52,Adult,Kristina_Lewis,1,Kristina_Lewis / 52,2020-06
863072,863072,16c492944ff8db495b61da16f8b95c53,2019-12-18,4259996134423,"Zieme, Bode and Dooley",gas_transport,26.37,F,Hudson,KS,215,government and public sector,38.386511,-97.735813,0,2019,december,52,Adult,Julie_Johnson,1,Julie_Johnson / 52,2019-12
424293,424293,d95d5f0142929f9930932e408f4e46dc,2019-07-09,6011860238257910,Bradtke PLC,grocery_pos,148.95,F,Lahoma,OK,1078,media and journalism,36.552697,-97.862785,0,2019,july,68,Elder,Lisa_Mendez,1,Lisa_Mendez / 68,2019-07
167213,167213,67bd2d0edc461a855e6a29e1b94d0454,2019-03-29,5152054598359927,Berge-Hills,kids_pets,25.1,M,Gretna,LA,55581,health and medicine,30.158593,-90.550743,0,2019,march,48,Adult,Jim_Johnson,1,Jim_Johnson / 48,2019-03
303840,303840,a9ae1129145854af3191ff0d7e89f105,2019-05-27,341283058448499,Johnston-Casper,travel,6.27,M,Brinson,GA,1461,engineering and technology,30.114644,-84.962098,0,2019,may,85,Elder,Mario_Johns,1,Mario_Johns / 85,2019-05
941938,941938,a37c1feed8e85caf97d69990aac096f1,2020-01-11,6547670341037171,"Schiller, Blanda and Johnson",home,4.57,M,Chester Heights,PA,348,human resources and business management,39.465081,-74.669535,0,2020,january,75,Elder,Bryce_Joseph,1,Bryce_Joseph / 75,2020-01
540513,540513,b4e98e5568279a80eeabefdca28b372f,2019-08-19,213112402583773,Kutch-Wilderman,home,6.18,F,Bradley,SC,1523,science and research,33.222388,-82.029443,0,2019,august,36,Adult,Ana_Howell,1,Ana_Howell / 36,2019-08
978962,978962,a5008e079d50124220578332fc63d911,2020-02-01,3583635130604947,"Brown, Homenick and Lesch",health_fitness,67.08,F,Philadelphia,PA,1526206,engineering and technology,40.195746,-74.635453,0,2020,february,35,Adult,Crystal_Gamble,1,Crystal_Gamble / 35,2020-02
1245040,1245040,fd83175bd7a60586d953d79f9997294f,2020-06-02,4198470814557,Reynolds-Schinner,misc_pos,9.77,F,Avoca,IA,2036,science and research,42.397462,-94.456724,0,2020,june,49,Adult,Christie_Williamson,1,Christie_Williamson / 49,2020-06
656707,656707,ed26456b49d0c30ae8724dae288cba2c,2019-10-06,3596357274378601,"Klocko, Runolfsdottir and Breitenberg",health_fitness,167.06,M,Morrisdale,PA,3688,psychology and social work,41.142806,-77.344571,0,2019,october,47,Adult,David_Everett,1,David_Everett / 47,2019-10
858522,858522,d381540288bca03e4eed33fc09b32362,2019-12-16,3511058278399773,Champlin-Casper,home,58.64,F,New Goshen,IN,205,engineering and technology,38.919949,-87.465214,0,2019,december,60,Elder,Briana_Santos,1,Briana_Santos / 60,2019-12
362580,362580,856ad8c2f5df9b0dc628e5a36fcab393,2019-06-17,372520049757633,Haag-Blanda,food_dining,5.04,F,Ranier,MN,136,"arts, design, and entertainment",48.867991,-92.564156,0,2019,june,20,Adult,Lori_Ramirez,1,Lori_Ramirez / 20,2019-06
455425,455425,120b5998f00ab8b3ee2eb9b8009b5d64,2019-07-21,3582754887089201,"Schumm, Bauch and Ondricka",grocery_pos,121.38,M,Norman,AR,1383,media and journalism,35.31882,-93.375785,0,2019,july,54,Adult,Terrance_Mckinney,1,Terrance_Mckinney / 54,2019-07
92255,92255,021acf97786cef50071d373d1504fa7b,2019-02-24,375974680629816,Romaguera Ltd,health_fitness,294.61,F,Plymouth,CT,2376,science and research,40.691423,-72.254467,0,2019,february,47,Adult,Roberta_Mccarthy,1,Roberta_Mccarthy / 47,2019-02
518056,518056,c5c85167daf6bce5aee72d5ec8eb20de,2019-08-11,38797410705641,Daugherty-Thompson,food_dining,57.46,M,Oak Hill,NY,277,"arts, design, and entertainment",43.394079,-73.615262,0,2019,august,49,Adult,Andrew_Tucker,1,Andrew_Tucker / 49,2019-08
303131,303131,9e4162e1accbe544b1458318e0f67aa0,2019-05-27,3533012926413100,Predovic Inc,shopping_net,1.5,F,Barneveld,NY,1684,information technology (it) and software development,43.283978000000005,-75.06651600000001,0,2019,may,26,Adult,Megan_Bernard,1,Megan_Bernard / 26,2019-05
995098,995098,3085ba3ddd817a0db4259b35686960a8,2020-02-10,4642894980163,Lynch Ltd,shopping_pos,6.56,M,Clarinda,IA,7297,information technology (it) and software development,39.866835,-94.229477,0,2020,february,30,Adult,Eddie_Mendez,1,Eddie_Mendez / 30,2020-02
284248,284248,e5428e50f04c2145d6acda8d7d37dc20,2019-05-20,4079773899158,Kuhn LLC,misc_net,110.64,M,Mesa,ID,129,others,44.794775,-117.193157,0,2019,may,55,Adult,Eric_Preston,1,Eric_Preston / 55,2019-05
180109,180109,a5a6963087b310eb35d6e71a1c92e60d,2019-04-04,676248282243,Maggio-Fahey,misc_pos,9.81,F,Cape Coral,FL,156391,education and academia,26.514841,-81.909377,0,2019,april,52,Adult,Amanda_Wheeler,1,Amanda_Wheeler / 52,2019-04
229686,229686,4b17f81734468e843ab614a706c8cb33,2019-04-26,4149238353975790,"Swaniawski, Lowe and Robel",shopping_pos,142.2,M,Cokeburg,PA,632,retail and commerce,39.964554,-80.085662,0,2019,april,31,Adult,Tanner_Carroll,1,Tanner_Carroll / 31,2019-04
285938,285938,8c2bf1d87d53c3812bc17905f8029c8e,2019-05-20,3523843138706408,Schiller Ltd,personal_care,119.29,F,Plantersville,AL,1412,engineering and technology,31.885736,-86.215813,0,2019,may,50,Adult,Grace_Williams,1,Grace_Williams / 50,2019-05
256700,256700,0a0ddd9e7b61cb15820e83c60d2f752e,2019-05-07,3583793405872580,"Dare, Fritsch and Zboncak",health_fitness,90.6,F,Roosevelt,OK,551,environmental science and conservation,34.658205,-98.320605,0,2019,may,50,Adult,Beth_Lambert,1,Beth_Lambert / 50,2019-05
837125,837125,6216d9130d006ca42e46d00b566c971c,2019-12-12,38797410705641,Zboncak LLC,food_dining,48.01,M,Oak Hill,NY,277,"arts, design, and entertainment",41.595705,-73.222086,0,2019,december,49,Adult,Andrew_Tucker,1,Andrew_Tucker / 49,2019-12
1066731,1066731,4afe9ac3206a9a4106cf2c10c9fafbe8,2020-03-18,4716561796955522,Schulist Ltd,food_dining,15.66,F,Heart Butte,MT,743,engineering and technology,47.463918,-113.031888,0,2020,march,48,Adult,Lauren_Anderson,1,Lauren_Anderson / 48,2020-03
282521,282521,32eede3bb8a3e10aa61ba28e47f68d41,2019-05-19,4208110975550360171,Leannon-Ward,food_dining,57.15,M,West Green,GA,782,health and medicine,32.125663,-82.95926800000001,0,2019,may,38,Adult,David_Bonilla,1,David_Bonilla / 38,2019-05
744025,744025,383fe0bc3df51f1c4f9551939c96345f,2019-11-14,2720433095629877,Howe PLC,entertainment,68.76,M,Bowdoin,ME,3224,engineering and technology,45.025324,-69.073337,0,2019,november,23,Adult,Mark_Wood,1,Mark_Wood / 23,2019-11
933636,933636,de674b8ce26eadab1c4674a7bbebf4e9,2020-01-06,4302475216404898,"Stehr, Jewess and Schimmel",misc_net,4.39,M,Belmond,IA,3032,health and medicine,43.802838,-93.348021,0,2020,january,56,Adult,Daniel_Cain,1,Daniel_Cain / 56,2020-01
808804,808804,9dde80fd9a84d72fd8ed16a1b6fe8a59,2019-12-06,4810839835482794272,Runte-Mohr,food_dining,16.83,F,Wheaton,MO,760,others,36.415289,-93.40523,0,2019,december,35,Adult,Carolyn_Perez,1,Carolyn_Perez / 35,2019-12
941668,941668,febaee438ef28134342bbb7ea9c3199b,2020-01-11,630424987505,"Streich, Hansen and Veum",gas_transport,34.82,F,Thomas,WV,836,health and medicine,39.612229,-79.024642,0,2020,january,39,Adult,Jennifer_Black,1,Jennifer_Black / 39,2020-01
636325,636325,e9c5ea1e3f99022969935f458dd6ca07,2019-09-28,567868110212,"Robel, Cummerata and Prosacco",gas_transport,67.58,F,Houston,TX,2906700,"marketing, advertising, and sales",30.068443,-95.404202,0,2019,september,36,Adult,Dawn_Tucker,1,Dawn_Tucker / 36,2019-09
364117,364117,7d7040096ceb2c7389e36ed97aff80b2,2019-06-17,38014427445058,Kihn-Fritsch,food_dining,38.9,F,Adams,WI,3508,sports and physical health,43.146463,-89.65106899999999,0,2019,june,74,Elder,Sonya_Jensen,1,Sonya_Jensen / 74,2019-06
1274285,1274285,774fa2b4264393c72faf08fb700e23da,2020-06-13,2720433095629877,"Gottlieb, Considine and Schultz",shopping_net,3.55,M,Bowdoin,ME,3224,engineering and technology,44.38725,-70.576676,0,2020,june,23,Adult,Mark_Wood,1,Mark_Wood / 23,2020-06
1210614,1210614,b99097540be83383c5951f795b38052e,2020-05-21,370348764075623,"Mosciski, Gislason and Mertz",grocery_pos,79.59,M,Tickfaw,LA,8512,finance and economics,31.520416,-90.259404,0,2020,may,69,Elder,Christopher_Gomez,1,Christopher_Gomez / 69,2020-05
1002543,1002543,76ae587a8eb1c40b2a52d7e5d06ae9ea,2020-02-15,4550599031376731,Crona and Sons,kids_pets,48.66,F,Mansfield,OH,92985,media and journalism,40.050034,-82.056164,0,2020,february,52,Adult,Angela_West,1,Angela_West / 52,2020-02
892651,892651,c6839553b4be68390e384e835187703b,2019-12-24,4223708906367574214,Donnelly LLC,entertainment,69.34,M,Mount Saint Joseph,OH,177,"arts, design, and entertainment",39.783263,-83.68996800000001,0,2019,december,46,Adult,Adam_Riddle,1,Adam_Riddle / 46,2019-12
43643,43643,69c7717016be6fbc5b0e68a906efe0cf,2019-01-27,4800395067176717,Bernhard Inc,gas_transport,36.42,M,Howells,NE,1063,science and research,42.635428000000005,-96.244679,0,2019,january,92,Elder,Daniel_Owens,1,Daniel_Owens / 92,2019-01
306552,306552,adf0999e0672acc0737c118ecf0ad8ae,2019-05-28,345933964507467,"Mosciski, Ziemann and Farrell",shopping_net,2.68,F,Whaleyville,MD,718,others,37.746671,-75.34813,0,2019,may,35,Adult,Carol_Dillon,1,Carol_Dillon / 35,2019-05
443236,443236,3749d6f400a71c12295a2aef98d15b81,2019-07-16,38057513087029,"Zieme, Bode and Dooley",gas_transport,60.95,F,San Jose,CA,973849,science and research,37.122274,-122.587298,0,2019,july,23,Adult,Marissa_Clark,1,Marissa_Clark / 23,2019-07
964866,964866,ed9fffd7b4066bcc3f7c0f6fe462a361,2020-01-24,38947654498698,"Langworth, Boehm and Gulgowski",shopping_net,3.81,F,Creola,OH,321,"marketing, advertising, and sales",38.403012,-82.815669,0,2020,january,41,Adult,Lori_Rodriguez,1,Lori_Rodriguez / 41,2020-01
849539,849539,8c53704b22b258adbd91a8d422c66448,2019-12-15,213125815021702,"Larson, Quitzon and Spencer",travel,5.85,M,Big Indian,NY,397,health and medicine,41.571521,-73.961555,0,2019,december,89,Elder,Adam_Kirk,1,Adam_Kirk / 89,2019-12
847780,847780,b0154d078f4ab907a5ef3b15287582e0,2019-12-15,4452366298769043,"Stokes, Christiansen and Sipes",grocery_net,42.19,F,Blooming Grove,TX,1563,finance and economics,32.454104,-96.584891,0,2019,december,42,Adult,Linda_Davis,1,Linda_Davis / 42,2019-12
604320,604320,394cbd834117e3d5fde5551cc415ea5a,2019-09-14,6011438889172900,VonRueden Group,grocery_net,53.88,F,De Witt,AR,5161,engineering and technology,34.547234,-91.60066,0,2019,september,27,Adult,Allison_Allen,1,Allison_Allen / 27,2019-09
619191,619191,272f9001b0cf0ea94b1223f6537a0488,2019-09-20,213157767990030,Conroy-Emard,food_dining,16.47,F,Rock Springs,WY,27971,health and medicine,41.889641,-110.040528,0,2019,september,36,Adult,Tara_Campbell,1,Tara_Campbell / 36,2019-09
603131,603131,7389b88a051345ad0e6b795cb5a6f0b6,2019-09-13,213178850083780,"Yost, Schamberger and Windler",kids_pets,45.0,M,Athena,OR,1302,retail and commerce,45.109252000000005,-117.800384,0,2019,september,44,Adult,Shawn_King,1,Shawn_King / 44,2019-09
359634,359634,3762b8eb10320b76625b9bffd5e865b3,2019-06-16,3500969075198072,Kris-Padberg,shopping_pos,157.06,M,Tekoa,WA,895,fashion and textile,48.086214,-117.898378,0,2019,june,21,Adult,Kenneth_Sanchez,1,Kenneth_Sanchez / 21,2019-06
713861,713861,006fcaff425d34c0b6891503a870c8fe,2019-11-01,344709867813900,"Goldner, Kovacek and Abbott",grocery_pos,218.3,F,Sebring,FL,50835,science and research,28.022703000000003,-81.692791,0,2019,november,34,Adult,Joanna_Hudson,1,Joanna_Hudson / 34,2019-11
1119779,1119779,b40f19ce10fd35432dd77131bfeb66b8,2020-04-11,4653879239169997,Zboncak Ltd,food_dining,1.2,F,Smiths Grove,KY,6841,sports and physical health,37.94373,-87.10050799999999,0,2020,april,21,Adult,Monica_Tucker,1,Monica_Tucker / 21,2020-04
262919,262919,27da84d6c9c69f344089938f02f456be,2019-05-11,4906628655840914250,Pfeffer LLC,grocery_net,50.25,M,Key West,FL,32891,construction and infrastructure,24.473618,-82.328129,0,2019,may,33,Adult,Charles_Moreno,1,Charles_Moreno / 33,2019-05
